step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,0.34679,0.94427,,,,
2,0.71611,0.87662,,,,
3,0.81913,0.92308,,,,
4,0.96039,0.86325,,,,
5,0.88942,0.85714,,,,
6,1.05664,0.89362,,,,
7,0.64016,0.8997,,,,
8,0.71252,0.90977,,,,
9,0.47965,0.94231,,,,
10,0.54041,0.93269,0.42705,0.93913,,
11,0.24514,0.96154,,,,
12,0.29693,0.93865,,,,
13,0.29937,0.93563,,,,
14,0.3897,0.9186,,,,
15,0.1526,0.95283,,,,
16,0.22861,0.95111,,,,
17,0.18439,0.94815,,,,
18,0.25739,0.94692,,,,
19,0.29372,0.94034,,,,
20,0.005,1,0.20342,0.94672,,
21,0.36002,0.91882,,,,
22,0.10513,0.95732,,,,
23,0.22008,0.94245,,,,
24,0.15826,0.93333,,,,
25,0.26541,0.9186,,,,
26,0.14033,0.95146,,,,
27,0.10659,0.95783,,,,
28,0.13141,0.95139,,,,
29,0.19472,0.9477,,,,
30,0.14804,0.95455,0.10247,0.97661,,
31,0.1236,0.96462,,,,
32,0.0998,0.97619,,,,
33,0.12245,0.94882,,,,
34,0.13353,0.96339,,,,
35,0.06923,0.97391,,,,
36,0.11704,0.9598,,,,
37,0.10882,0.95775,,,,
38,0.17004,0.95918,,,,
39,0.09124,0.97619,,,,
40,0.10631,0.95771,0.07853,0.96532,,
41,0.08371,0.96711,,,,
42,0.05481,0.97696,,,,
43,0.02862,0.99301,,,,
44,0.18831,0.94915,,,,
45,0.08998,0.96599,,,,
46,0.09029,0.95789,,,,
47,0.07923,0.98204,,,,
48,0.16608,0.95238,,,,
49,0.06652,0.96996,,,,
50,0.16111,0.97122,0.00382,1,,
51,0.04797,0.97409,,,,
52,0.039,0.97842,,,,
53,0.119,0.95035,,,,
54,0.1282,0.95376,,,,
55,0.0695,0.97432,,,,
56,0.11289,0.96703,,,,
57,0.01935,0.99507,,,,
58,0.11347,0.96486,,,,
59,0.05211,0.98241,,,,
60,0.05715,0.98769,0.15391,0.95935,,
61,0.0594,0.98011,,,,
62,0.11046,0.96063,,,,
63,0.05854,0.97183,,,,
64,0.05594,0.98214,,,,
65,0.07706,0.97361,,,,
66,0.08287,0.97817,,,,
67,0.10774,0.96783,,,,
68,0.02118,0.99095,,,,
69,0.10703,0.9596,,,,
70,0.07367,0.98077,0.0713,0.98936,,
71,0.06346,0.97826,,,,
72,0.05686,0.98293,,,,
73,0.02349,0.99381,,,,
74,0.067,0.97414,,,,
75,0.14372,0.93607,,,,
76,0.1309,0.94585,,,,
77,0.05781,0.98113,,,,
78,0.03977,0.98788,,,,
79,0.05243,0.97744,,,,
80,0.03905,0.98616,0.04207,0.98473,,
81,0.02863,0.99275,,,,
82,0.08313,0.98077,,,,
