is_valid,syntax_errors,precision,recall,f1_score,true_positives,false_positives,false_negatives,property_precision,property_recall,property_f1_score,property_true_positives,property_false_positives,property_false_negatives,property_diversity,class_precision,class_recall,class_f1_score,class_true_positives,class_false_positives,class_false_negatives,https://polianna-kg.org/Ontology#contains_instrument,https://polianna-kg.org/Ontology#contains_objective,https://polianna-kg.org/Ontology#contains_monitoring_form,https://polianna-kg.org/Ontology#contains_sanctioning_form,https://polianna-kg.org/Ontology#addresses,entity_precision,entity_recall,entity_f1_score,entity_true_positives,entity_false_positives,entity_false_negatives,ontology_consistency_score,constraint_violations,constraint_violations_by_type,ontology_conforms,ground_truth_triple_count,file_path,file_size,triple_count,cleaned,article_id,model,strategy,file_name,syntax_error_message
True,0,0.38095238095238093,0.45714285714285713,0.4155844155844156,16.0,26.0,19.0,0.8461538461538461,0.9166666666666666,0.8799999999999999,11.0,2.0,1.0,13.0,0.5714285714285714,0.631578947368421,0.6,12.0,9.0,7.0,"{'contains_instrument_precision': 0.5, 'contains_instrument_recall': 0.5, 'contains_instrument_f1_score': 0.5, 'contains_instrument_true_positives': 1, 'contains_instrument_false_positives': 1, 'contains_instrument_false_negatives': 1}","{'contains_objective_precision': 1.0, 'contains_objective_recall': 1.0, 'contains_objective_f1_score': 1.0, 'contains_objective_true_positives': 1, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 0}","{'contains_monitoring_form_precision': 1.0, 'contains_monitoring_form_recall': 1.0, 'contains_monitoring_form_f1_score': 1.0, 'contains_monitoring_form_true_positives': 1, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 0}","{'contains_sanctioning_form_precision': 0, 'contains_sanctioning_form_recall': 0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 0, 'contains_sanctioning_form_false_negatives': 0}","{'addresses_precision': 0.5, 'addresses_recall': 1.0, 'addresses_f1_score': 0.6666666666666666, 'addresses_true_positives': 1, 'addresses_false_positives': 1, 'addresses_false_negatives': 0}",0.45454545454545453,0.5555555555555556,0.5,5.0,6.0,4.0,1.0,0.0,{},True,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_gpt-4o-2024-08-06_few-shot_20250409_111638.ttl,2977,42,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,few-shot,32012L0027_gpt-4o-2024-08-06_few-shot_20250409_111638.ttl,
False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_llama3.1:70b_one-shot_20250410_001727.ttl,2765,0,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,llama3.1:70b,one-shot,32012L0027_llama3.1:70b_one-shot_20250410_001727.ttl,"at line 1 of <>:
Bad syntax (expected directive or statement) at ^ in:
""b''^b'turtle\n@prefix owl: <http://www.w3.org/2002/07/owl#> .\n@pref'..."""
True,0,0.45161290322580644,0.4,0.4242424242424243,14.0,17.0,21.0,0.8461538461538461,0.9166666666666666,0.8799999999999999,11.0,2.0,1.0,13.0,0.6842105263157895,0.6842105263157895,0.6842105263157895,13.0,6.0,6.0,"{'contains_instrument_precision': 0.5, 'contains_instrument_recall': 0.5, 'contains_instrument_f1_score': 0.5, 'contains_instrument_true_positives': 1, 'contains_instrument_false_positives': 1, 'contains_instrument_false_negatives': 1}","{'contains_objective_precision': 1.0, 'contains_objective_recall': 1.0, 'contains_objective_f1_score': 1.0, 'contains_objective_true_positives': 1, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 0}","{'contains_monitoring_form_precision': 1.0, 'contains_monitoring_form_recall': 1.0, 'contains_monitoring_form_f1_score': 1.0, 'contains_monitoring_form_true_positives': 1, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 0}","{'contains_sanctioning_form_precision': 0, 'contains_sanctioning_form_recall': 0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 0, 'contains_sanctioning_form_false_negatives': 0}","{'addresses_precision': 0.5, 'addresses_recall': 1.0, 'addresses_f1_score': 0.6666666666666666, 'addresses_true_positives': 1, 'addresses_false_positives': 1, 'addresses_false_negatives': 0}",0.5714285714285714,0.4444444444444444,0.5,4.0,3.0,5.0,1.0,0.0,{},True,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_gpt-4o-2024-08-06_one-shot_20250409_111621.ttl,2080,31,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,one-shot,32012L0027_gpt-4o-2024-08-06_one-shot_20250409_111621.ttl,
True,0,0.0,0.0,0.0,0.0,28.0,35.0,0.2,0.08333333333333333,0.11764705882352941,1.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,3.0,19.0,"{'contains_instrument_precision': 0, 'contains_instrument_recall': 0.0, 'contains_instrument_f1_score': 0, 'contains_instrument_true_positives': 0, 'contains_instrument_false_positives': 0, 'contains_instrument_false_negatives': 2}","{'contains_objective_precision': 0, 'contains_objective_recall': 0.0, 'contains_objective_f1_score': 0, 'contains_objective_true_positives': 0, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 1}","{'contains_monitoring_form_precision': 0, 'contains_monitoring_form_recall': 0.0, 'contains_monitoring_form_f1_score': 0, 'contains_monitoring_form_true_positives': 0, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 1}","{'contains_sanctioning_form_precision': 0, 'contains_sanctioning_form_recall': 0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 0, 'contains_sanctioning_form_false_negatives': 0}","{'addresses_precision': 0, 'addresses_recall': 0.0, 'addresses_f1_score': 0, 'addresses_true_positives': 0, 'addresses_false_positives': 0, 'addresses_false_negatives': 1}",0.0,0.0,0.0,0.0,7.0,9.0,1.0,0.0,{},True,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_llama3.1:70b_zero-shot_20250410_001611.ttl,4100,28,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,llama3.1:70b,zero-shot,32012L0027_llama3.1:70b_zero-shot_20250410_001611.ttl,
True,0,0.3333333333333333,0.02857142857142857,0.05263157894736842,1.0,2.0,34.0,0.3333333333333333,0.08333333333333333,0.13333333333333333,1.0,2.0,11.0,3.0,1.0,0.05263157894736842,0.1,1.0,0.0,18.0,"{'contains_instrument_precision': 0, 'contains_instrument_recall': 0.0, 'contains_instrument_f1_score': 0, 'contains_instrument_true_positives': 0, 'contains_instrument_false_positives': 0, 'contains_instrument_false_negatives': 2}","{'contains_objective_precision': 0, 'contains_objective_recall': 0.0, 'contains_objective_f1_score': 0, 'contains_objective_true_positives': 0, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 1}","{'contains_monitoring_form_precision': 0, 'contains_monitoring_form_recall': 0.0, 'contains_monitoring_form_f1_score': 0, 'contains_monitoring_form_true_positives': 0, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 1}","{'contains_sanctioning_form_precision': 0, 'contains_sanctioning_form_recall': 0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 0, 'contains_sanctioning_form_false_negatives': 0}","{'addresses_precision': 0, 'addresses_recall': 0.0, 'addresses_f1_score': 0, 'addresses_true_positives': 0, 'addresses_false_positives': 0, 'addresses_false_negatives': 1}",1.0,0.1111111111111111,0.19999999999999998,1.0,0.0,8.0,1.0,0.0,{},True,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_o3-mini-2025-01-31_zero-shot_20250410_230024.ttl,9010,3,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,o3-mini-2025-01-31,zero-shot,32012L0027_o3-mini-2025-01-31_zero-shot_20250410_230024.ttl,
False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_llama3.1:70b_few-shot_20250410_001838.ttl,2868,0,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,llama3.1:70b,few-shot,32012L0027_llama3.1:70b_few-shot_20250410_001838.ttl,"at line 1 of <>:
Bad syntax (expected directive or statement) at ^ in:
""b''^b'turtle\n@prefix pol: <http://purl.org/olia/polcore#> .\n@prefi'..."""
True,0,0.2777777777777778,0.2857142857142857,0.28169014084507044,10.0,26.0,25.0,0.6111111111111112,0.9166666666666666,0.7333333333333334,11.0,7.0,1.0,18.0,0.38461538461538464,0.5263157894736842,0.4444444444444444,10.0,16.0,9.0,"{'contains_instrument_precision': 1.0, 'contains_instrument_recall': 0.5, 'contains_instrument_f1_score': 0.6666666666666666, 'contains_instrument_true_positives': 1, 'contains_instrument_false_positives': 0, 'contains_instrument_false_negatives': 1}","{'contains_objective_precision': 1.0, 'contains_objective_recall': 1.0, 'contains_objective_f1_score': 1.0, 'contains_objective_true_positives': 1, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 0}","{'contains_monitoring_form_precision': 1.0, 'contains_monitoring_form_recall': 1.0, 'contains_monitoring_form_f1_score': 1.0, 'contains_monitoring_form_true_positives': 1, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 0}","{'contains_sanctioning_form_precision': 0.0, 'contains_sanctioning_form_recall': 0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 1, 'contains_sanctioning_form_false_negatives': 0}","{'addresses_precision': 1.0, 'addresses_recall': 1.0, 'addresses_f1_score': 1.0, 'addresses_true_positives': 1, 'addresses_false_positives': 0, 'addresses_false_negatives': 0}",1.0,0.1111111111111111,0.19999999999999998,1.0,0.0,8.0,1.0,0.0,{},True,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_gpt-4o-2024-08-06_zero-shot_20250409_111612.ttl,2602,36,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,zero-shot,32012L0027_gpt-4o-2024-08-06_zero-shot_20250409_111612.ttl,
True,0,0.3333333333333333,0.2,0.25,7.0,14.0,28.0,0.6666666666666666,0.5,0.5714285714285715,6.0,3.0,6.0,9.0,0.6363636363636364,0.3684210526315789,0.4666666666666667,7.0,4.0,12.0,"{'contains_instrument_precision': 0, 'contains_instrument_recall': 0.0, 'contains_instrument_f1_score': 0, 'contains_instrument_true_positives': 0, 'contains_instrument_false_positives': 0, 'contains_instrument_false_negatives': 2}","{'contains_objective_precision': 0, 'contains_objective_recall': 0.0, 'contains_objective_f1_score': 0, 'contains_objective_true_positives': 0, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 1}","{'contains_monitoring_form_precision': 0, 'contains_monitoring_form_recall': 0.0, 'contains_monitoring_form_f1_score': 0, 'contains_monitoring_form_true_positives': 0, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 1}","{'contains_sanctioning_form_precision': 0, 'contains_sanctioning_form_recall': 0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 0, 'contains_sanctioning_form_false_negatives': 0}","{'addresses_precision': 1.0, 'addresses_recall': 1.0, 'addresses_f1_score': 1.0, 'addresses_true_positives': 1, 'addresses_false_positives': 0, 'addresses_false_negatives': 0}",0.5,0.3333333333333333,0.4,3.0,3.0,6.0,1.0,0.0,{},True,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_o3-mini-2025-01-31_one-shot_20250410_230044.ttl,1668,21,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,o3-mini-2025-01-31,one-shot,32012L0027_o3-mini-2025-01-31_one-shot_20250410_230044.ttl,
True,0,0.36363636363636365,0.22857142857142856,0.2807017543859649,8.0,14.0,27.0,0.7777777777777778,0.5833333333333334,0.6666666666666666,7.0,2.0,5.0,9.0,0.6666666666666666,0.42105263157894735,0.5161290322580646,8.0,4.0,11.0,"{'contains_instrument_precision': 0, 'contains_instrument_recall': 0.0, 'contains_instrument_f1_score': 0, 'contains_instrument_true_positives': 0, 'contains_instrument_false_positives': 0, 'contains_instrument_false_negatives': 2}","{'contains_objective_precision': 1.0, 'contains_objective_recall': 1.0, 'contains_objective_f1_score': 1.0, 'contains_objective_true_positives': 1, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 0}","{'contains_monitoring_form_precision': 0, 'contains_monitoring_form_recall': 0.0, 'contains_monitoring_form_f1_score': 0, 'contains_monitoring_form_true_positives': 0, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 1}","{'contains_sanctioning_form_precision': 0, 'contains_sanctioning_form_recall': 0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 0, 'contains_sanctioning_form_false_negatives': 0}","{'addresses_precision': 0.5, 'addresses_recall': 1.0, 'addresses_f1_score': 0.6666666666666666, 'addresses_true_positives': 1, 'addresses_false_positives': 1, 'addresses_false_negatives': 0}",0.5,0.3333333333333333,0.4,3.0,3.0,6.0,1.0,0.0,{},True,35,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_o3-mini-2025-01-31_few-shot_20250410_230103.ttl,2035,22,False,EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,o3-mini-2025-01-31,few-shot,32012L0027_o3-mini-2025-01-31_few-shot_20250410_230103.ttl,
True,0,0.0,0.0,0.0,0.0,22.0,39.0,0.2,0.07142857142857142,0.10526315789473682,1.0,4.0,13.0,5.0,0.0,0.0,0.0,0.0,3.0,21.0,"{'contains_instrument_precision': 0, 'contains_instrument_recall': 0.0, 'contains_instrument_f1_score': 0, 'contains_instrument_true_positives': 0, 'contains_instrument_false_positives': 0, 'contains_instrument_false_negatives': 3}","{'contains_objective_precision': 0, 'contains_objective_recall': 0.0, 'contains_objective_f1_score': 0, 'contains_objective_true_positives': 0, 'contains_objective_false_positives': 0, 'contains_objective_false_negatives': 1}","{'contains_monitoring_form_precision': 0, 'contains_monitoring_form_recall': 0.0, 'contains_monitoring_form_f1_score': 0, 'contains_monitoring_form_true_positives': 0, 'contains_monitoring_form_false_positives': 0, 'contains_monitoring_form_false_negatives': 1}","{'contains_sanctioning_form_precision': 0, 'contains_sanctioning_form_recall': 0.0, 'contains_sanctioning_form_f1_score': 0, 'contains_sanctioning_form_true_positives': 0, 'contains_sanctioning_form_false_positives': 0, 'contains_sanctioning_form_false_negatives': 1}","{'addresses_precision': 0, 'addresses_recall': 0.0, 'addresses_f1_score': 0, 'addresses_true_positives': 0, 'addresses_false_positives': 0, 'addresses_false_negatives': 2}",0.0,0.0,0.0,0.0,7.0,9.0,1.0,0.0,{},True,39,/Users/oskarkrafft/Desktop/Projects/LLM-policy-knowledge-graphs/experiments/results/EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04/32009L0028_llama3.1:70b_one-shot_20250409_234013.ttl,2213,22,False,EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,llama3.1:70b,one-shot,32009L0028_llama3.1:70b_one-shot_20250409_234013.ttl,
