article_id,model,strategy,is_valid,syntax_errors,precision,recall,f1_score,true_positives,false_positives,false_negatives,tp_core,fp_core,fn_core,precision_core,recall_core,f1_score_core,tp_policy_char,fp_policy_char,fn_policy_char,precision_policy_char,recall_policy_char,f1_score_policy_char,tp_compliance_char,fp_compliance_char,fn_compliance_char,precision_compliance_char,recall_compliance_char,f1_score_compliance_char,tp_actor,fp_actor,fn_actor,precision_actor,recall_actor,f1_score_actor,tp_other,fp_other,fn_other,precision_other,recall_other,f1_score_other,tp_time,fp_time,fn_time,precision_time,recall_time,f1_score_time,property_precision,property_recall,property_f1_score,property_true_positives,property_false_positives,property_false_negatives,property_diversity,class_precision,class_recall,class_f1_score,class_true_positives,class_false_positives,class_false_negatives,entity_precision,entity_recall,entity_f1_score,entity_true_positives,entity_false_positives,entity_false_negatives,ontology_consistency_score,constraint_violations,constraint_violations_by_type,ontology_conforms,ground_truth_triple_count,rel_contains_instrument_precision_contains_instrument,rel_contains_instrument_recall_contains_instrument,rel_contains_instrument_f1_score_contains_instrument,rel_contains_instrument_true_positives_contains_instrument,rel_contains_instrument_false_positives_contains_instrument,rel_contains_instrument_false_negatives_contains_instrument,rel_contains_objective_precision_contains_objective,rel_contains_objective_recall_contains_objective,rel_contains_objective_f1_score_contains_objective,rel_contains_objective_true_positives_contains_objective,rel_contains_objective_false_positives_contains_objective,rel_contains_objective_false_negatives_contains_objective,rel_contains_monitoring_form_precision_contains_monitoring_form,rel_contains_monitoring_form_recall_contains_monitoring_form,rel_contains_monitoring_form_f1_score_contains_monitoring_form,rel_contains_monitoring_form_true_positives_contains_monitoring_form,rel_contains_monitoring_form_false_positives_contains_monitoring_form,rel_contains_monitoring_form_false_negatives_contains_monitoring_form,rel_contains_sanctioning_form_precision_contains_sanctioning_form,rel_contains_sanctioning_form_recall_contains_sanctioning_form,rel_contains_sanctioning_form_f1_score_contains_sanctioning_form,rel_contains_sanctioning_form_true_positives_contains_sanctioning_form,rel_contains_sanctioning_form_false_positives_contains_sanctioning_form,rel_contains_sanctioning_form_false_negatives_contains_sanctioning_form,rel_addresses_precision_addresses,rel_addresses_recall_addresses,rel_addresses_f1_score_addresses,rel_addresses_true_positives_addresses,rel_addresses_false_positives_addresses,rel_addresses_false_negatives_addresses,triple_count,file_size,cleaned,fixed_jsonld,file_name,syntax_error_message,file_path
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,zero-shot,True,0,0.23809523809523808,0.3333333333333333,0.2777777777777778,5,16,10,1,2,0,0.3333333333333333,1.0,0.5,1,1,1,0.5,0.5,0.5,0,0,0,0.0,0.0,0.0,2,5,0,0.2857142857142857,1.0,0.4444444444444445,1,1,9,0.5,0.1,0.16666666666666669,0,7,0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,7,5,5,12,0.2631578947368421,0.625,0.37037037037037035,5,14,3,0.1111111111111111,0.125,0.11764705882352941,1,8,7,1.0,0,{},True,17,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,17,3184,False,True,32012L0027_gpt-4o-2024-08-06_zero-shot_20250421_204807.jsonld,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,one-shot,True,0,0.47619047619047616,0.5555555555555556,0.5128205128205129,10,11,8,3,0,0,1.0,1.0,1.0,1,1,1,0.5,0.5,0.5,0,0,0,0.0,0.0,0.0,4,3,3,0.5714285714285714,0.5714285714285714,0.5714285714285714,2,0,0,1.0,1.0,1.0,0,7,4,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,0.5263157894736842,0.5882352941176471,0.5555555555555555,10,9,7,0.2222222222222222,0.3333333333333333,0.26666666666666666,2,7,4,1.0,0,{},True,30,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,30,5575,False,True,32012L0027_gpt-4o-2024-08-06_one-shot_20250421_204822.jsonld,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,qwen2.5-coder:32b,zero-shot,True,0,0.0,0.0,0.0,0,21,37,0,3,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,2,37,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.08333333333333333,0.14285714285714285,0.10526315789473685,1,11,6,12,0.0,0.0,0.0,0,19,3,0.0,0.0,0.0,0,9,0,1.0,0,{},True,37,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37,4549,False,False,32012L0027_qwen2.5-coder:32b_zero-shot_20250421_195626.jsonld,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,qwen2.5-coder:32b,one-shot,True,0,0.0,0.0,0.0,0,21,109,0,3,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,2,109,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.08333333333333333,0.125,0.1,1,11,7,12,0.0,0.0,0.0,0,19,5,0.0,0.0,0.0,0,9,0,1.0,0,{},True,109,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,109,7713,False,False,32012L0027_qwen2.5-coder:32b_one-shot_20250421_195757.jsonld,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,gpt-4o-2024-08-06,zero-shot,True,0,0.13636363636363635,0.14285714285714285,0.1395348837209302,3,19,18,1,2,0,0.3333333333333333,1.0,0.5,0,3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,5,1,0.16666666666666666,0.5,0.25,1,2,17,0.3333333333333333,0.05555555555555555,0.09523809523809525,0,7,0,0.0,0.0,0.0,0.35714285714285715,0.5555555555555556,0.43478260869565216,5,9,4,14,0.19047619047619047,0.36363636363636365,0.25,4,17,7,0.1111111111111111,0.125,0.11764705882352941,1,8,7,1.0,0,{},True,23,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,4236,False,True,32009L0028_gpt-4o-2024-08-06_zero-shot_20250421_204840.jsonld,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,gpt-4o-2024-08-06,one-shot,True,0,0.5454545454545454,0.8571428571428571,0.6666666666666665,12,10,2,3,0,0,1.0,1.0,1.0,1,2,0,0.3333333333333333,1.0,0.5,0,0,0,0.0,0.0,0.0,4,2,0,0.6666666666666666,1.0,0.8,2,1,0,0.6666666666666666,1.0,0.8,2,5,2,0.2857142857142857,0.5,0.36363636363636365,0.9285714285714286,1.0,0.962962962962963,13,1,0,14,0.5714285714285714,0.8571428571428571,0.6857142857142857,12,9,2,0.4444444444444444,0.6666666666666666,0.5333333333333333,4,5,2,1.0,0,{},True,24,0.3333333333333333,1.0,0.5,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,24,4950,False,True,32009L0028_gpt-4o-2024-08-06_one-shot_20250421_204857.jsonld,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,qwen2.5-coder:32b,zero-shot,False,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,False,False,,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,qwen2.5-coder:32b,one-shot,False,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,False,False,,File not generated or found,
EU_32018L2001_Title_0_Chapter_0_Section_0_Article_01,gpt-4o-2024-08-06,zero-shot,True,0,0.5,0.29411764705882354,0.37037037037037035,5,5,12,3,0,0,1.0,1.0,1.0,1,2,1,0.3333333333333333,0.5,0.4,0,0,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,1,0,11,1.0,0.08333333333333333,0.15384615384615385,0,1,0,0.0,0.0,0.0,0.625,0.625,0.625,5,3,3,8,0.5454545454545454,0.75,0.631578947368421,6,5,2,0.6666666666666666,0.2857142857142857,0.4,2,1,5,1.0,0,{},True,17,0.3333333333333333,0.5,0.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,3884,False,True,32018L2001_gpt-4o-2024-08-06_zero-shot_20250421_204910.jsonld,File not generated or found,
EU_32018L2001_Title_0_Chapter_0_Section_0_Article_01,gpt-4o-2024-08-06,one-shot,True,0,0.6,0.6666666666666666,0.631578947368421,6,4,3,3,0,0,1.0,1.0,1.0,1,2,1,0.3333333333333333,0.5,0.4,0,0,0,0.0,0.0,0.0,1,1,1,0.5,0.5,0.5,1,0,0,1.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.75,0.75,0.75,6,2,2,8,0.5454545454545454,0.6,0.5714285714285713,6,5,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,1.0,0,{},True,11,0.3333333333333333,0.5,0.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,11,3322,False,True,32018L2001_gpt-4o-2024-08-06_one-shot_20250421_204920.jsonld,File not generated or found,
