article_id,model,strategy,is_valid,syntax_errors,precision,recall,f1_score,true_positives,false_positives,false_negatives,tp_core,fp_core,fn_core,precision_core,recall_core,f1_score_core,tp_policy_char,fp_policy_char,fn_policy_char,precision_policy_char,recall_policy_char,f1_score_policy_char,tp_compliance_char,fp_compliance_char,fn_compliance_char,precision_compliance_char,recall_compliance_char,f1_score_compliance_char,tp_actor,fp_actor,fn_actor,precision_actor,recall_actor,f1_score_actor,tp_other,fp_other,fn_other,precision_other,recall_other,f1_score_other,tp_time,fp_time,fn_time,precision_time,recall_time,f1_score_time,property_precision,property_recall,property_f1_score,property_true_positives,property_false_positives,property_false_negatives,property_diversity,class_precision,class_recall,class_f1_score,class_true_positives,class_false_positives,class_false_negatives,entity_precision,entity_recall,entity_f1_score,entity_true_positives,entity_false_positives,entity_false_negatives,ontology_consistency_score,constraint_violations,constraint_violations_by_type,ontology_conforms,ground_truth_triple_count,rel_contains_instrument_precision_contains_instrument,rel_contains_instrument_recall_contains_instrument,rel_contains_instrument_f1_score_contains_instrument,rel_contains_instrument_true_positives_contains_instrument,rel_contains_instrument_false_positives_contains_instrument,rel_contains_instrument_false_negatives_contains_instrument,rel_contains_objective_precision_contains_objective,rel_contains_objective_recall_contains_objective,rel_contains_objective_f1_score_contains_objective,rel_contains_objective_true_positives_contains_objective,rel_contains_objective_false_positives_contains_objective,rel_contains_objective_false_negatives_contains_objective,rel_contains_monitoring_form_precision_contains_monitoring_form,rel_contains_monitoring_form_recall_contains_monitoring_form,rel_contains_monitoring_form_f1_score_contains_monitoring_form,rel_contains_monitoring_form_true_positives_contains_monitoring_form,rel_contains_monitoring_form_false_positives_contains_monitoring_form,rel_contains_monitoring_form_false_negatives_contains_monitoring_form,rel_contains_sanctioning_form_precision_contains_sanctioning_form,rel_contains_sanctioning_form_recall_contains_sanctioning_form,rel_contains_sanctioning_form_f1_score_contains_sanctioning_form,rel_contains_sanctioning_form_true_positives_contains_sanctioning_form,rel_contains_sanctioning_form_false_positives_contains_sanctioning_form,rel_contains_sanctioning_form_false_negatives_contains_sanctioning_form,rel_addresses_precision_addresses,rel_addresses_recall_addresses,rel_addresses_f1_score_addresses,rel_addresses_true_positives_addresses,rel_addresses_false_positives_addresses,rel_addresses_false_negatives_addresses,triple_count,file_size,cleaned,fixed_jsonld,file_name,syntax_error_message,file_path
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,zero-shot,True,0,0.38095238095238093,0.5,0.4324324324324324,8,13,8,1,2,0,0.3333333333333333,1.0,0.5,1,1,2,0.5,0.3333333333333333,0.4,2,0,0,1.0,1.0,1.0,4,3,4,0.5714285714285714,0.5,0.5333333333333333,0,0,2,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.75,0.75,0.75,9,3,3,12,0.47368421052631576,0.6,0.5294117647058824,9,10,6,0.2222222222222222,0.6666666666666666,0.3333333333333333,2,7,1,1.0,0,{},True,18,0.5,0.3333333333333333,0.4,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,1173,False,False,32012L0027_gpt-4o-2024-08-06_zero-shot_20250421_024829.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,few-shot,True,0,0.47619047619047616,0.625,0.5405405405405405,10,11,6,3,0,0,1.0,1.0,1.0,1,1,2,0.5,0.3333333333333333,0.4,1,1,0,0.5,1.0,0.6666666666666666,4,3,0,0.5714285714285714,1.0,0.7272727272727273,0,0,0,0.0,0.0,0.0,1,6,4,0.14285714285714285,0.2,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,0.5263157894736842,0.625,0.5714285714285714,10,9,6,0.4444444444444444,0.5714285714285714,0.5,4,5,3,1.0,0,{},True,29,0.5,0.3333333333333333,0.4,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,29,2001,False,False,32012L0027_gpt-4o-2024-08-06_few-shot_20250421_024849.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,one-shot,True,0,0.5714285714285714,0.8,0.6666666666666666,12,9,3,3,0,0,1.0,1.0,1.0,1,1,1,0.5,0.5,0.5,1,1,0,0.5,1.0,0.6666666666666666,4,3,0,0.5714285714285714,1.0,0.7272727272727273,0,0,0,0.0,0.0,0.0,3,4,2,0.42857142857142855,0.6,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,0.631578947368421,0.8,0.7058823529411765,12,7,3,0.6666666666666666,0.8571428571428571,0.75,6,3,1,1.0,0,{},True,26,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,26,1862,False,False,32012L0027_gpt-4o-2024-08-06_one-shot_20250421_024837.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,qwen2.5-coder:32b,zero-shot,True,0,0.0,0.0,0.0,0,21,13,0,3,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,0,13,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.08333333333333333,0.125,0.1,1,11,7,12,0.05263157894736842,0.09090909090909091,0.06666666666666667,1,18,10,0.0,0.0,0.0,0,9,4,1.0,0,{},True,13,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,3374,False,False,32012L0027_qwen2.5-coder:32b_zero-shot_20250421_164418.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,qwen2.5-coder:32b,few-shot,False,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,False,False,,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,qwen2.5-coder:32b,one-shot,False,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,False,False,,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,gpt-4o-2024-08-06,zero-shot,True,0,0.2727272727272727,0.42857142857142855,0.33333333333333326,6,16,8,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5,3,3,2,0.5,0.6,0.5454545454545454,0,0,6,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,2,14,0.2857142857142857,0.6666666666666666,0.4,6,15,3,0.1111111111111111,0.25,0.15384615384615383,1,8,3,1.0,0,{},True,17,0.3333333333333333,1.0,0.5,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,17,1750,False,False,32009L0028_gpt-4o-2024-08-06_zero-shot_20250421_024856.ttl,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,gpt-4o-2024-08-06,few-shot,True,0,0.4090909090909091,0.6,0.4864864864864865,9,13,6,3,0,0,1.0,1.0,1.0,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,0,0.3333333333333333,1.0,0.5,2,4,0,0.3333333333333333,1.0,0.5,0,0,0,0.0,0.0,0.0,2,5,4,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.6428571428571429,1.0,0.782608695652174,9,5,0,14,0.6190476190476191,0.8125,0.7027027027027026,13,8,3,0.7777777777777778,0.875,0.823529411764706,7,2,1,1.0,0,{},True,33,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,33,2233,False,False,32009L0028_gpt-4o-2024-08-06_few-shot_20250421_024915.ttl,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,gpt-4o-2024-08-06,one-shot,True,0,0.5454545454545454,0.8,0.6486486486486486,12,10,3,3,0,0,1.0,1.0,1.0,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0,0,0,0.0,0.0,0.0,2,5,3,0.2857142857142857,0.4,0.3333333333333333,0.8571428571428571,1.0,0.923076923076923,12,2,0,14,0.5714285714285714,0.8,0.6666666666666666,12,9,3,0.4444444444444444,0.5714285714285714,0.5,4,5,3,1.0,0,{},True,27,0.3333333333333333,1.0,0.5,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,27,1958,False,False,32009L0028_gpt-4o-2024-08-06_one-shot_20250421_024905.ttl,File not generated or found,
EU_32009L0028_Title_0_Chapter_0_Section_0_Article_04,qwen2.5-coder:32b,zero-shot,False,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,False,False,,File not generated or found,
